lista;item;Proyecto;item_exp;cond;bias;nombre_rol;errores;rt_determinante;rt_nombre;rt_verbo1;rt_pronombre;rt_verbo2;q_words;q_words_SN_Pron;respeta_verbo_verbo;respeta_sust_sust;oracion;palabra_0;palabra_1;palabra_2;palabra_3;palabra_4;palabra_5;palabra_6;palabra_7;palabra_8;palabra_9;palabra_10;palabra_11;palabra_12;palabra_13;palabra_14;part;ID;edad;id_genero;nacionalidad;residencia;lengua;educacion;lentes;mail;tiempo_total
A;59;todos;gender11;g_masc;fem;psicólogo;no;569;926;965;1240;1122;13;4;no;no;"Gli psicologi organizzano una seduta collettiva; tutti offrono consulenza gratuita negli ambulatori pubblici.";569;926;965;1488;1016;972;1240;1122;1067;926;1322;850;933;;;1;1;30;F;Italiana;xxx;Italiano;Dottorato (completo);Sì;xxx;618325
A;79;todos;gender31;g_masc;masc;herrero;no;703;701;723;769;863;14;5;no;no;"I fabbri saldano la nuova rete metallica; tutti eseguono un lavoro di squadra eccellente.";703;701;723;968;993;900;764;769;863;1140;1043;716;737;1381.0;;1;1;30;F;Italiana;xxx;Italiano;Dottorato (completo);Sì;xxx;618325
A;78;todos;gender30;g_fem;masc;camionero;no;611;1511;1042;1083;1102;15;4;si;si;"Le giardiniere curano il parco pubblico; tutte potano gli alberi malati alla fine dell' inverno.";611;1511;1042;920;861;2161;1083;1102;817;804;1093;2275;1773;2328.0;835.0;1;1;30;F;Italiana;xxx;Italiano;Dottorato (completo);Sì;xxx;618325
A;88;todos;gender40;g_fem;masc;mecánico;si;604;1718;1079;913;871;13;5;no;no;"Le meccaniche riparano il motore dell' automobile; tutte offrono un servizio eccellente al cliente.";604;1718;1079;2413;919;1437;735;913;871;798;920;1005;2623;965.0;;1;1;30;F;Italiana;xxx;Italiano;Dottorato (completo);Sì;xxx;618325
A;49;todos;gender1;g_masc;fem;enfermero;no;1226;887;978;799;964;14;7;si;si;"Gli infermieri controllano i turni di guardia del giorno; tutti trovano degli errori madornali.";1226;887;978;1330;924;859;856;1398;1001;799;964;1892;955;1088.0;;1;1;30;F;Italiana;xxx;Italiano;Dottorato (completo);Sì;xxx;618325
A;56;todos;gender8;g_fem;fem;secretario;no;591;891;1811;1048;1359;13;5;no;no;"Le segretarie ricevono la documentazione ufficiale; tutte raccolgono le firme in ogni dipartimento.";591;891;1811;970;1163;1115;1048;1359;880;746;1140;846;735;;;1;1;30;F;Italiana;xxx;Italiano;Dottorato (completo);Sì;xxx;618325
A;75;Bologna;gender27;g_masc;fem;fonoaudiólogo;no;559;904;1437;2186;1315;13;5;no;no;"I ginecologi visitano le pazienti con le infermiere; tutti monitorano la crescita fetale.";559;904;1437;1090;748;1330;1083;873;2186;1315;1074;1136;1449;;;1;1;30;F;Italiana;xxx;Italiano;Dottorato (completo);Sì;xxx;618325
A;91;todos;gender43;g_masc;masc;marinero;no;495;878;1269;591;853;13;5;no;no;"I marinai ricevono le indicazioni dal porto; tutti manovrano con destrezza la nave.";495;878;1269;928;800;1420;881;591;853;1021;1841;803;886;;;1;1;30;F;Italiana;xxx;Italiano;Dottorato (completo);Sì;xxx;618325
A;104;Bologna;gender56;g_fem;masc;plomero;no;1058;1311;1073;651;1057;13;5;si;si;"Le idrauliche riparano la principale tubatura rotta; tutte ripristinano l' acqua corrente nell' intero edificio.";1058;1311;1073;883;1034;1099;944;651;1057;1098;815;1031;1420;855.0;800.0;1;1;30;F;Italiana;xxx;Italiano;Dottorato (completo);Sì;xxx;618325
A;85;todos;gender37;g_masc;masc;bombero;no;1221;723;1108;628;1123;14;6;si;si;"I becchini preparano la salma per la sepoltura; tutti aspettano in un rigoroso silenzio.";1221;723;1108;753;627;778;667;701;628;1123;1305;1699;777;529.0;;1;1;30;F;Italiana;xxx;Italiano;Dottorato (completo);Sì;xxx;618325
A;54;todos;gender6;g_fem;fem;bibliotecario;no;449;725;777;1065;1111;14;5;si;si;"Le bibliotecarie organizzano alfabeticamente i nuovi libri; tutte eseguono il lavoro in modo rigoroso.";449;725;777;3162;821;614;765;1065;1111;532;663;433;679;570.0;;1;1;30;F;Italiana;xxx;Italiano;Dottorato (completo);Sì;xxx;618325
B;80;todos;gender32;g_fem;masc;herrero;si;607;2967;2138;3545;693;14;5;no;no;"Le fabbre saldano la nuova rete metallica; tutte eseguono un lavoro di squadra eccellente.";607;2967;2138;608;996;1239;789;3545;693;2211;860;927;791;1059.0;;2;2;35;F;italiana;xxx;italiano;PhD;no;xxx;534442
B;60;todos;gender12;g_fem;fem;psicólogo;no;574;995;737;1358;908;13;4;no;no;"Le psicologhe organizzano una seduta collettiva; tutte offrono consulenza gratuita negli ambulatori pubblici.";574;995;737;682;1146;803;1358;908;814;741;980;1034;602;;;2;2;35;F;italiana;xxx;italiano;PhD;no;xxx;534442
B;87;todos;gender39;g_masc;masc;mecánico;no;694;1354;802;1343;564;13;5;no;no;"I meccanici riparano il motore dell' automobile; tutti offrono un servizio eccellente al cliente.";694;1354;802;681;917;815;551;1343;564;672;471;960;1250;593.0;;2;2;35;F;italiana;xxx;italiano;PhD;no;xxx;534442
B;50;todos;gender2;g_fem;fem;enfermero;no;567;1135;858;1316;710;14;7;si;si;"Le infermiere controllano i turni di guardia del giorno; tutte trovano degli errori madornali.";567;1135;858;799;568;919;856;1158;1027;1316;710;802;743;980.0;;2;2;35;F;italiana;xxx;italiano;PhD;no;xxx;534442
B;77;todos;gender29;g_masc;masc;camionero;si;606;1361;726;1085;761;15;4;si;si;"I giardinieri curano il parco pubblico; tutti potano gli alberi malati alla fine dell' inverno.";606;1361;726;769;967;963;1085;761;675;660;1414;2093;876;1940.0;2402.0;2;2;35;F;italiana;xxx;italiano;PhD;no;xxx;534442
B;92;todos;gender44;g_fem;masc;marinero;no;609;778;1198;992;768;13;5;no;no;"Le marinaie ricevono le indicazioni dal porto; tutte manovrano con destrezza la nave.";609;778;1198;733;613;1348;1546;992;768;2144;1046;1102;948;;;2;2;35;F;italiana;xxx;italiano;PhD;no;xxx;534442
B;53;todos;gender5;g_masc;fem;bibliotecario;no;610;849;821;1039;886;14;5;si;si;"I bibliotecari organizzano alfabeticamente i nuovi libri; tutti eseguono il lavoro in modo rigoroso.";610;849;821;2285;716;709;525;1039;886;817;752;778;1232;847.0;;2;2;35;F;italiana;xxx;italiano;PhD;no;xxx;534442
B;55;todos;gender7;g_masc;fem;secretario;no;599;726;1119;987;827;13;4;no;no;"I segretari ricevono la documentazione ufficiale; tutti raccolgono le firme in ogni dipartimento.";599;726;1119;753;1080;932;987;827;728;930;1006;784;897;;;2;2;35;F;italiana;xxx;italiano;PhD;no;xxx;534442
B;103;Bologna;gender55;g_masc;masc;plomero;si;613;689;862;853;894;13;5;si;si;"Gli idraulici riparano la principale tubatura rotta; tutti ripristinano l' acqua corrente nell' intero edificio.";613;689;862;779;1232;824;1381;853;894;983;1398;734;917;857.0;749.0;2;2;35;F;italiana;xxx;italiano;PhD;no;xxx;534442
B;86;todos;gender38;g_fem;masc;bombero;no;703;762;754;905;1111;14;6;si;si;"Le becchine preparano la salma per la sepoltura; tutte aspettano in un rigoroso silenzio.";703;762;754;524;852;715;487;939;905;1111;748;1088;831;660.0;;2;2;35;F;italiana;xxx;italiano;PhD;no;xxx;534442
